Elo	Username	W	L	T	Last update
1343.7362082726568	TeamRocketAI	71	71	0	Wed Jan 27 2016 16:42:05 GMT-0500 (Eastern Standard Time)
1324.97908195585	jimmydpoly	91	76	0	Mon Oct 26 2015 11:01:11 GMT-0400 (Eastern Daylight Time)
1253.9137308537158	Guest 3	8	0	0	Thu Apr 14 2016 16:17:34 GMT-0400 (Eastern Daylight Time)
1231.390334932869	scotchkorean27	55	76	0	Mon Oct 26 2015 00:31:00 GMT-0400 (Eastern Daylight Time)
1180.6555527631883	Guest 20	6	1	0	Sun Apr 10 2016 18:28:01 GMT-0400 (Eastern Daylight Time)
1159.9522032391665	polytestai	122	120	0	Thu Mar 31 2016 16:27:28 GMT-0400 (Eastern Daylight Time)
1113.0125610640323	Guest 9	3	0	0	Sun Apr 10 2016 17:43:31 GMT-0400 (Eastern Daylight Time)
1108.860871525303	Guest 14	3	0	0	Sun Apr 10 2016 17:45:38 GMT-0400 (Eastern Daylight Time)
1088.8197583983456	Guest 25	2	1	0	Sun Apr 10 2016 18:29:26 GMT-0400 (Eastern Daylight Time)
1077.823920421634	Guest 11	2	2	0	Thu Jan 28 2016 16:44:11 GMT-0500 (Eastern Standard Time)
1064.2971438733798	Guest 28	2	1	0	Sun Apr 10 2016 18:40:47 GMT-0400 (Eastern Daylight Time)
1057.7193074668828	Guest 1	1	2	0	Thu Jan 28 2016 17:43:17 GMT-0500 (Eastern Standard Time)
1055.2171538118375	Guest 29	1	2	0	Sun Apr 10 2016 18:40:47 GMT-0400 (Eastern Daylight Time)
1051.9705191750936	Aiobs	1	0	0	Thu Jan 28 2016 18:43:19 GMT-0500 (Eastern Standard Time)
1045	Guest 33	1	0	0	Sun Apr 10 2016 18:45:07 GMT-0400 (Eastern Daylight Time)
1045	Guest 27	1	0	0	Sun Apr 10 2016 18:36:05 GMT-0400 (Eastern Daylight Time)
1045	Guest 6	1	0	0	Sun Apr 10 2016 17:36:41 GMT-0400 (Eastern Daylight Time)
1045	Guest 44	1	0	0	Thu Jan 28 2016 20:07:49 GMT-0500 (Eastern Standard Time)
1045	Guest 42	1	0	0	Thu Jan 28 2016 20:06:37 GMT-0500 (Eastern Standard Time)
1045	Guest 31	1	0	0	Thu Jan 28 2016 19:13:40 GMT-0500 (Eastern Standard Time)
1045	Guest 17	1	0	0	Thu Jan 28 2016 18:51:07 GMT-0500 (Eastern Standard Time)
1045	aiobs3	1	0	0	Thu Jan 28 2016 16:33:20 GMT-0500 (Eastern Standard Time)
1045	Guest 21	1	0	0	Wed Jan 27 2016 22:11:15 GMT-0500 (Eastern Standard Time)
1045	Guest 12	1	0	0	Wed Jan 27 2016 20:53:32 GMT-0500 (Eastern Standard Time)
1036.6918593406854	Guest 22	1	1	0	Thu Jan 28 2016 18:58:41 GMT-0500 (Eastern Standard Time)
1032.249299227623	Guest 10	1	3	0	Sun Apr 10 2016 17:43:31 GMT-0400 (Eastern Daylight Time)
1029.0566066294075	Guest 2	1	6	0	Sun Apr 10 2016 17:34:51 GMT-0400 (Eastern Daylight Time)
1026.249162115905	Guest 24	1	2	0	Sun Apr 10 2016 18:29:26 GMT-0400 (Eastern Daylight Time)
1015.9967719469413	Guest 19	1	4	0	Sun Apr 10 2016 17:58:55 GMT-0400 (Eastern Daylight Time)
1000	polyplayer	0	1	0	Thu Apr 14 2016 16:17:34 GMT-0400 (Eastern Daylight Time)
1000	Guest 32	0	1	0	Sun Apr 10 2016 18:45:07 GMT-0400 (Eastern Daylight Time)
1000	Guest 26	0	1	0	Sun Apr 10 2016 18:36:05 GMT-0400 (Eastern Daylight Time)
1000	Guest 23	0	2	0	Sun Apr 10 2016 18:28:01 GMT-0400 (Eastern Daylight Time)
1000	Guest 13	0	2	0	Sun Apr 10 2016 17:45:38 GMT-0400 (Eastern Daylight Time)
1000	Guest 8	0	1	0	Sun Apr 10 2016 17:37:57 GMT-0400 (Eastern Daylight Time)
1000	Guest 5	0	1	0	Sun Apr 10 2016 17:36:41 GMT-0400 (Eastern Daylight Time)
1000	Guest 43	0	1	0	Thu Jan 28 2016 20:07:49 GMT-0500 (Eastern Standard Time)
1000	Guest 41	0	1	0	Thu Jan 28 2016 20:06:37 GMT-0500 (Eastern Standard Time)
1000	Guest 30	0	1	0	Thu Jan 28 2016 19:13:40 GMT-0500 (Eastern Standard Time)
1000	Guest 16	0	1	0	Thu Jan 28 2016 18:51:07 GMT-0500 (Eastern Standard Time)
1000	Guest 18	0	1	0	Wed Jan 27 2016 22:09:24 GMT-0500 (Eastern Standard Time)
1000	Guest 15	0	1	0	Wed Jan 27 2016 20:55:14 GMT-0500 (Eastern Standard Time)
